Year,Units,Жынысы,Value
2010,пайыз,,30.48
2011,пайыз,,28.59
2012,пайыз,,27.1
2013,пайыз,,23.7
2014,пайыз,,20.53
2015,пайыз,,21.12
2016,пайыз,,20.84
2017,пайыз,,19.73
2018,пайыз,,19.28
2010,пайыз,ерлер,41.19
2011,пайыз,ерлер,38.91
2012,пайыз,ерлер,37.13
2013,пайыз,ерлер,32.83
2014,пайыз,ерлер,28.67
2015,пайыз,ерлер,29.4
2016,пайыз,ерлер,29.25
2017,пайыз,ерлер,27.66
2018,пайыз,ерлер,27.09
2010,пайыз,әйелдер,21.3
2011,пайыз,әйелдер,19.8
2012,пайыз,әйелдер,18.61
2013,пайыз,әйелдер,16.1
2014,пайыз,әйелдер,13.88
2015,пайыз,әйелдер,14.38
2016,пайыз,әйелдер,13.98
2017,пайыз,әйелдер,13.29
2018,пайыз,әйелдер,12.92
